"city","date","score","score_floor","label","infected_n"
"עילוט","2020-08-19",9.9,9,"red",76
"כפר ברא","2020-08-19",9.7,9,"red",43.00000000000003
"מודיעין עילית","2020-08-19",9.7,9,"red",525.9999999999998
"כפר קאסם","2020-08-19",9.6,9,"red",137.00000000000003
"מעלה עירון","2020-08-19",9.5,9,"red",58.99999999999994
"ג'לג'וליה","2020-08-19",8.5,8,"red",21.999999999999993
"יאנוח-ג'ת","2020-08-19",8.4,8,"red",25.00000000000003
"עמנואל","2020-08-19",8.4,8,"red",15
"טירה","2020-08-19",8.3,8,"red",126.00000000000007
"אבו גוש","2020-08-19",8.2,8,"red",26.000000000000018
"באר יעקב","2020-08-19",8.2,8,"red",39.000000000000085
"חצור הגלילית","2020-08-19",8.2,8,"red",8
"עיילבון","2020-08-19",8,8,"orange",9.000000000000004
"תל מונד","2020-08-19",8,8,"orange",20.99999999999994
"ג'דיידה-מכר","2020-08-19",7.9,7,"orange",62
"מג'ד אל-כרום","2020-08-19",7.9,7,"orange",37.99999999999999
"שפיר","2020-08-19",7.9,7,"orange",33.000000000000014
"כאבול","2020-08-19",7.8,7,"orange",13.00000000000006
"סח'נין","2020-08-19",7.8,7,"orange",96.99999999999994
"מסעדה","2020-08-19",7.7,7,"orange",10.999999999999984
"נתיבות","2020-08-19",7.7,7,"orange",90
"כסיפה","2020-08-19",7.6,7,"orange",9.000000000000005
"בית ג'ן","2020-08-19",7.5,7,"orange",41.99999999999996
"זכרון יעקב","2020-08-19",7.4,7,"orange",21.000000000000007
"חבל מודיעין","2020-08-19",7.4,7,"orange",33.00000000000005
"חורפיש","2020-08-19",7.4,7,"orange",17.999999999999993
"לב השרון","2020-08-19",7.4,7,"orange",22.999999999999936
"עמק יזרעאל","2020-08-19",7.3,7,"orange",33
"שעב","2020-08-19",7.3,7,"orange",16.000000000000018
"בית שאן","2020-08-19",7.2,7,"orange",19
"אלעד","2020-08-19",7.1,7,"orange",110.0000000000001
"בני ברק","2020-08-19",7.1,7,"orange",570.9999999999999
"לכיש","2020-08-19",7.1,7,"orange",15.00000000000004
"ירכא","2020-08-19",7,7,"orange",108.00000000000003
"מיתר","2020-08-19",6.9,6,"orange",4.999999999999998
"רכסים","2020-08-19",6.9,6,"orange",23.99999999999996
"הגלבוע","2020-08-19",6.8,6,"orange",26.999999999999993
"רהט","2020-08-19",6.7,6,"orange",138.00000000000006
