"city","date","pop","pos","f_pos","growth_w","infected","infected_n","tests","score","score_floor"
"דייר אל-אסד","2020-08-12",12594,16.3398692810458,8,3.571428571428566,39.7014451326028,49.999999999999964,242.972844211529,10,9
"ירכא","2020-08-12",15589,8.80634390651085,2,4.510638297872359,135.993328629162,212.00000000000065,1536.98120469562,10,10
"כפר ברא","2020-08-12",3793,19.5652173913043,8,6.000000000000001,47.4558397047192,17.999999999999993,242.552069601898,10,10
"מודיעין עילית","2020-08-12",76971,28.1736281736282,32,1.3819999999999997,89.7740707539203,690.9999999999999,317.262345558717,10,10
"חורפיש","2020-08-12",6378,9.375,2,14.999999999999977,70.555032925682,44.99999999999998,752.587017873942,9.7,9
"עילוט","2020-08-12",8412,40.0778210116732,32,16.999999999999954,121.255349500713,101.99999999999977,305.515929624346,9.3,9
"שעב","2020-08-12",7318,12.781954887218,4,8.500000000000021,23.2303908171632,17.00000000000003,181.743645804865,9,8
"נחל שורק","2020-08-12",9315,16.3265306122449,8,0.6250000000000024,16.1030595813205,15.000000000000046,105.206655931294,8.7,8
"נחף","2020-08-12",13415,15.3846153846154,8,1.2666666666666715,14.1632500931793,19.000000000000032,96.9064480059635,8.7,8
"עמנואל","2020-08-12",4201,20,8,0.7500000000000009,21.4234706022376,9.000000000000016,107.117353011188,8.7,8
"ג'ת","2020-08-12",12206,13.9455782312925,4,5.12499999999999,33.5900376863837,40.99999999999995,240.865148287727,8.6,8
"כפר מנדא","2020-08-12",20343,18.266253869969,8,2,29.4941749004572,60.00000000000008,158.776974880794,8.6,8
"אלקנה","2020-08-12",3729,3.44827586206897,1,0.1818181818181818,5.3633681952266,1.999999999999999,155.537677661571,8.5,8
"סביון","2020-08-12",4335,7.69230769230769,2,3.3333333333333237,23.0680507497116,9.999999999999979,299.884659746251,8.5,8
"צפת","2020-08-12",35967,16.2637362637363,8,1.6444444444444384,20.5744154363722,73.99999999999989,126.504851669586,8.5,8
"אליכין","2020-08-12",3440,10.5263157894737,4,2.666666666666669,23.2558139534884,8.000000000000009,220.93023255814,8.3,8
"כפר קאסם","2020-08-12",24074,18.6363636363636,8,2.3333333333333424,34.8924150535848,84.00000000000004,182.769793137825,8,8
"קרית יערים","2020-08-12",6269,23.5294117647059,16,2.222222222222215,31.9030148349019,20,135.587813048333,8,7
"ריינה","2020-08-12",16709,11.4427860696517,4,2.999999999999992,14.3635166676641,23.999999999999943,120.294452091687,8,8
"יואב","2020-08-12",8507,4.9645390070922,1,2.3333333333333353,8.22851769131304,7.000000000000004,165.745856353591,7.6,7
"אלעד","2020-08-12",47548,21.8890554722639,16,0.6058091286307056,30.7058130731051,146.00000000000014,140.279296710692,7.5,7
"בני ברק","2020-08-12",200806,19.0056818181818,8,0.835599505562423,33.6643327390616,676.0000000000003,175.293566925291,7.4,7
"אבו סנאן","2020-08-12",13317,3.61111111111111,1,1.7500000000000067,10.512878275888,14.00000000000005,270.33115566569,7.3,7
"רכסים","2020-08-12",12392,19.5121951219512,8,0.7619047619047614,25.823111684958,31.999999999999954,132.34344738541,7.3,7
"שפיר","2020-08-12",10976,16.5605095541401,8,1.0799999999999983,24.5991253644315,27.000000000000018,143.039358600583,7.3,7
"אלונה","2020-08-12",2078,9.09090909090909,2,2.000000000000002,9.62463907603465,2.0000000000000004,105.871029836381,7.2,7
"חורה","2020-08-12",17723,9.375,2,2.000000000000004,5.64238560063195,10.000000000000005,54.1669017660667,7.2,7
"סח'נין","2020-08-12",32736,7.71276595744681,2,2.521739130434777,17.7174975562072,57.999999999999886,229.716520039101,7.2,7
"טייבה","2020-08-12",43958,13.6825645035184,4,1.5714285714285738,40.0382182992857,176.00000000000009,290.959552299923,6.9,6
"ביתר עילית","2020-08-12",61648,21.3333333333333,16,0.6435643564356421,21.0874643135219,129.9999999999998,97.3267583701012,6.8,6
"כאוכב אבו אל-היג'א","2020-08-12",3872,6.86274509803922,2,1.7499999999999976,18.0785123966942,6.999999999999994,263.429752066116,6.7,6
"טירה","2020-08-12",26560,11.496062992126,4,2.517241379310336,27.4849397590361,72.99999999999989,239.081325301205,6.6,6
"קלנסווה","2020-08-12",23087,14.5952109464082,4,1.3061224489795915,55.4424567938667,128.00000000000006,379.867457876727,6.6,6
"בית שמש","2020-08-12",126846,15.3958944281525,8,0.7157190635451518,16.8708512684673,214.0000000000003,107.531967898081,6.5,6
